sku,name,category,brand,date,price_irr,price_toman
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-06-29,211950000,21195000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-07-06,213035000,21303500
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-07-13,212800000,21280000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-07-20,210040000,21004000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-07-27,218535000,21853500
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-08-03,225645000,22564500
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-08-10,234960000,23496000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-08-17,245790000,24579000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-08-24,248365000,24836500
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-08-31,248510000,24851000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-09-07,258840000,25884000
AMO-001,"کاسه چرخ برلیانس 220/230 عقب",brake-drums,brilliance,2026-09-14,259875000,25987500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-06-29,159925000,15992500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-07-06,164460000,16446000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-07-13,163645000,16364500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-07-20,163550000,16355000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-07-27,165250000,16525000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-08-03,168155000,16815500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-08-10,175075000,17507500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-08-17,175360000,17536000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-08-24,181385000,18138500
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-08-31,182510000,18251000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-09-07,186740000,18674000
AMO-002,"کاسه چرخ ام‌وی‌ام 110 عقب",brake-drums,mvm,2026-09-14,185625000,18562500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-06-29,201660000,20166000
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-07-06,205185000,20518500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-07-13,208770000,20877000
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-07-20,210000000,21000000
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-07-27,212230000,21223000
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-08-03,215995000,21599500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-08-10,218230000,21823000
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-08-17,222005000,22200500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-08-24,225115000,22511500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-08-31,228065000,22806500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-09-07,229735000,22973500
AMO-003,"کاسه چرخ ام‌وی‌ام 315 عقب",brake-drums,mvm,2026-09-14,230175000,23017500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-06-29,314505000,31450500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-07-06,315800000,31580000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-07-13,318610000,31861000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-07-20,326335000,32633500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-07-27,324950000,32495000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-08-03,332445000,33244500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-08-10,342720000,34272000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-08-17,353430000,35343000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-08-24,362485000,36248500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-08-31,374430000,37443000
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-09-07,373605000,37360500
AMO-004,"دیسک چرخ ام‌وی‌ام 530 عقب",brake-discs,mvm,2026-09-14,375705000,37570500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-06-29,366005000,36600500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-07-06,401190000,40119000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-07-13,414170000,41417000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-07-20,419420000,41942000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-07-27,416480000,41648000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-08-03,435200000,43520000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-08-10,440715000,44071500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-08-17,431730000,43173000
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-08-24,435165000,43516500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-08-31,444105000,44410500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-09-07,430505000,43050500
AMO-005,"دیسک چرخ ام‌وی‌ام 33X عقب",brake-discs,mvm,2026-09-14,457380000,45738000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-06-29,406065000,40606500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-07-06,416380000,41638000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-07-13,441335000,44133500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-07-20,433445000,43344500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-07-27,426640000,42664000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-08-03,418640000,41864000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-08-10,433300000,43330000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-08-17,428585000,42858500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-08-24,444340000,44434000
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-08-31,450185000,45018500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-09-07,481105000,48110500
AMO-006,"دیسک چرخ ام‌وی‌ام 33X عقب TRA-X",brake-discs,mvm,2026-09-14,490050000,49005000
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-06-29,392145000,39214500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-07-06,402235000,40223500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-07-13,410155000,41015500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-07-20,425425000,42542500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-07-27,428395000,42839500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-08-03,430220000,43022000
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-08-10,429450000,42945000
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-08-17,451150000,45115000
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-08-24,451845000,45184500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-08-31,447215000,44721500
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-09-07,451150000,45115000
AMO-007,"دیسک چرخ ام‌وی‌ام S33X عقب",brake-discs,mvm,2026-09-14,457380000,45738000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-06-29,386875000,38687500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-07-06,394260000,39426000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-07-13,401590000,40159000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-07-20,410335000,41033500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-07-27,420275000,42027500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-08-03,439390000,43939000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-08-10,458945000,45894500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-08-17,479035000,47903500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-08-24,494850000,49485000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-08-31,489905000,48990500
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-09-07,493750000,49375000
AMO-008,"دیسک چرخ ام‌وی‌ام S33X عقب TRA-X",brake-discs,mvm,2026-09-14,486915000,48691500
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-06-29,413795000,41379500
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-07-06,435035000,43503500
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-07-13,436565000,43656500
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-07-20,437280000,43728000
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-07-27,447160000,44716000
AMO-009,"دیسک چرخ ام‌وی‌ام 22X جلو",brake-discs,mvm,2026-08-03,456780000,45678000
